"ab","","акы","ҩба","хҧа","ҧшьба","хәба","фба","бжьба","ааба","жәба","жәаба","жәеиза","жәаҩа","жәаха","жәиҧшь","жәохә","жәаф","жәибжь","жәаа","зеижә","ҩажәа"
"af","nul","een","twee","drie","vier","vyf","ses","sewe","agt","nege","tien","elf","twaalf","dertien","veertien","vyftien","sestien","sewentien","agtien","negentien","twintig"
"am","ባዶ","አንድ","ሁለት","ሶስት","አራት","አምስት","ስድስት","ሰባት","ስምንት","ዘጠኝ","አስር","አስራ አንድ","አስራ ሁለት","አስራ ሶስት","አስራ አራት","አስራ አምስት","አስራ ስድስት","አስራ ሰባት","አስራ ስምንት","አስራ ዘጠኝ","ሃያ"
"ar","صِفْر","واحِد","اِثنان","ثَلاثة","أرْبَعَة","خَمْسة","سِتَّة","سَبْعَة","ثَمانِية","تِسْعة","عَشَرة","أحد عشر","اثنا عشر","ثلاثة عشر","أربعة عشر","خمسة عشر","ستة عشر","سبعة عشر","ثمانية عشر","تسعة عشر","عشرون"
"as","শূন্য","এক","দুই","তিনি","চাৰি","পাঁচ","ছয়","সাত","আঠ","ন","দহ","এঘাৰ","বাৰ","তেৰ","চৈধ্য","পোন্ধৰ","ষোল্ল","সোতৰ","ওঠৰ","ঊন্নৈছ","বিছ"
"ay","n/a","maya","paya","quimsa","pusi","pheska","sojjta","pakallko","quimsakallko","llätunca","tunca","tunca mayani","tunca payani","tunca quimsani","tunca pusini","tunca pheskani","tunca sojjtani","tunca pakallkoni","tunca quimsakallkoni","tunca llätuncani","pä tunc"
"az","sıfır","bir","iki","üç","dörd","beş","altı","yeddi","səkkiz","doqquz","on","on bir","on iki","on uç","on dörd","on beş","on altı","on yeddi","on səkkiz","on doqquz","iyirmi"
"ba","ноль","бер","ике","өс","дүрт","биш","алты","ете","һигеҙ","туғыҙ","ун","ун бер","ун ике","ун өс","ун дүрт","ун биш","ун алты","ун ете","ун һигеҙ","ун туғыҙ","егерме"
"be","нуль","адзін","два","тры","чатыры","пяць","шэсць","сем","восем","дзевяць","дзесяць","адзінаццаць","дванаццаць","трынаццаць","чатырнаццаць","пятнаццаць","шаснаццаць","семнаццаць","васемнаццаць","дзевятнаццаць","дваццаць"
"bg","нула","едно","две","три","четири","пет","шест","седем","осем","девет","десет","единадесет","дванадесет","тринадесет","четиринадесет","петнадесет","шестнадесет","седемнадесет","осемнадесет","деветнадесет","двадесет"
"bn","শুন্য","এক","দুই","তিন","চার","পাঁচ","ছয়","সাত","আট","নয়","দশ","এগার","বার","তের","চোদ্দ","পনের","ষোল","সতের","আঠার","উনিশ","বিশ"
"br","mann","unan","daou","tri","pevar","pemp","c’hwec’h","seizh","eizh","nav","dek","unnek","daouzek","trizek","pevarzek","pemzek","c’hwezek","seitek","triwec’h","naontek","ugent"
"ca","zero","u","dos","tres","quatre","cinc","sis","set","vuit","nou","deu","onze","dotze","tretze","catorze","quinze","setze","disset","divuit","dinou","vint"
"co","zeru","unu","dui","trè","quattru","cinque","séi","sétte","óttu","nóve","déce","òndeci","dòdeci","trèdeci","quattòrdeci","quindeci","sèdeci","dicessétte","dicióttu","dicennóve","vinti"
"cs","nula","jeden","dva","tři","čtyři","pět","šest","sedm","osm","devět","deset","jedenáct","dvanáct","třináct","čtrnáct","patnáct","šestnáct","sedmnáct","osmnáct","devatenáct","dvacet"
"cy","dim","un","dau","tri","pedwar","pump","chwech","saith","wyth","naw","deg","un ar ddeg","deuddeg","tri ar ddeg","pedwar ar ddeg","pymtheg","un ar bymtheg","dau ar bymtheg","deunaw","pedwar ar bymtheg","ugain"
"da","nul","en","to","tre","fire","fem","seks","syv","otte","ni","ti","elleve","tolv","tretten","fjorten","femten","seksten","sytten","atten","nitten","tyve"
"de","null","eins","zwei","drei","vier","fünf","sechs","sieben","acht","neun","zehn","elf","zwölf","dreizehn","vierzehn","fünfzehn","sechzehn","siebzehn","achtzehn","neunzehn","zwanzig"
"el","μηδέν","ένα","δύο","τρία","τέσσερα","πέντε","έξι","επτά","οκτώ","εννέα","δέκα","έντεκα","δώδεκα","δεκατρία","δεκατέσσερα","δεκαπέντε","δεκαέξι","δεκαεπτά","δεκαοκτώ","δεκαεννέα","είκοσι"
"en","zero","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","thirteen","fourteen","fifteen","sixteen","seventeen","eighteen","nineteen","twenty"
"eo","nulo","unu","du","tri","kvar","kvin","ses","sep","ok","naŭ","dek","dek unu","dek du","dek tri","dek kvar","dek kvin","dek ses","dek sep","dek ok","dek naŭ","dudek"
"es","cero","uno","dos","tres","cuatro","cinco","seis","siete","ocho","nueve","diez","once","doce","trece","catorce","quince","dieciséis","diecisiete","dieciocho","diecinueve","veinte"
"et","null","üks","kaks","kolm","neli","viis","kuus","seitse","kaheksa","üheksa","kümme","üksteist","kaksteist","kolmteist","neliteist","viisteist","kuusteist","seitseteist","kaheksateist","üheksateist","kakskümmend"
"eu","zero","bat","bi","hiru","lau","bost","sei","zazpi","zortzi","bederatzi","hamar","hamaika","hamabi","hamahiru","hamalau","hamabost","hamasei","hamazazpi","hemezortzi","hemeretzi","hogei"
"fa","صفر","یک","دو","سه","چهار","پنج","شش","هفت","هشت","نه","ده","یازده","دوازده","سیزده","چهارده","پانزده","شانزده","هفده","هجده","نوزده","بیست"
"fi","nolla","yksi","kaksi","kolme","neljä","viisi","kuusi","seitsemän","kahdeksan","yhdeksän","kymmenen","yksitoista","kaksitoista","kolmetoista","neljätoista","viisitoista","kuusitoista","seitsemäntoista","kahdeksantoista","yhdeksäntoista","kaksikymmentä"
"fo","null","ein","tveir","tríggir","fýra","fimm","seks","sjey","átta","níggju","tíggju","ellivu","tólv","trettan","fjúrtan","fimtan","sekstan","seytjan","átjan","nítjan","tjúgu"
"fr","zéro","un","deux","trois","quatre","cinq","six","sept","huit","neuf","dix","onze","douze","treize","quatorze","quinze","seize","dix-sept","dix-huit","dix-neuf","vingt"
"fy","nul","ien","twa","trije","fjouwer","fiif","seis","sân","acht","njoggen","tsien","alve","tolve","trettjin","fjirtjin","fyftjin","sechtjin","santjin","achttjin","njoggentjin","tweintich"
"ga","náid","aon","dó","trí","ceathair","cúig","sé","seacht","ocht","naoi","deich","aon déag","dó dhéag","trí déag","ceathair déag","cúig déag","sé déag","seacht déag","ocht déag","naoi déag","fiche"
"gd","neoni","aon","dà","trì","ceithir","cóig","sia","seachd","ochd","naoi","deich","aon deug","dà dheug","trì deug","ceithir deug","còig deug","sia deug","seachd deug","ochd deug","naoi deug","fichead"
"gl","cero","un","dous","tres","catro","cinco","seis","sete","oito","nove","dez","once","doce","trece","catorce","quince","dezaseis","dezasete","dezaoito","dezanove","vinte"
